Hotel,Average_Rating
Columbus Airport Marriott,4.0
Columbus Inn & Suites,2.217391304347826
Columbus Motor Inn,4.719165085388994
Comfort Inn,4.104651162790698
Comfort Inn & Suites,3.627450980392157
Comfort Inn & Suites Airport,3.8333333333333335
Comfort Inn & Suites German Church Road,3.0
Comfort Inn & Suites Greenway Plaza/SW Freeway,2.5
Comfort Inn & Suites Hotel Circle / SeaWorld,3.6862745098039214
Comfort Inn & Suites Houston,3.0
Comfort Inn & Suites I-10 Airport,4.44
Comfort Inn & Suites Market Center,3.225806451612903
Comfort Inn & Suites N at Pyramids,3.9649122807017543
Comfort Inn & Suites Near Medical Center,3.875
Comfort Inn & Suites New York Avenue,2.076923076923077
Comfort Inn & Suites Seattle,3.1132075471698113
Comfort Inn & Suites West,3.8805970149253732
Comfort Inn & Suites Zoo / SeaWorld Area,3.9630872483221475
Comfort Inn & Suites near the AT&T Center,3.16
Comfort Inn - Boston,2.959349593495935
Comfort Inn - Los Angeles / West Sunset Blvd.,3.411214953271028
Comfort Inn Airport East,3.7857142857142856
Comfort Inn At The Harbor,4.087719298245614
Comfort Inn Central,3.4411764705882355
Comfort Inn Central Park West,4.459770114942529
Comfort Inn Chelsea,4.311764705882353
Comfort Inn Convention Center,3.7264150943396226
Comfort Inn Denver International Airport,3.3
Comfort Inn Downtown,4.51
Comfort Inn Downtown DC / Convention Center,4.325757575757576
Comfort Inn Downtown/Historic Area,3.923943661971831
Comfort Inn East,3.625
Comfort Inn East Indianapolis,3.411764705882353
Comfort Inn Executive Park,3.7916666666666665
Comfort Inn Fiesta Park Area,4.166666666666667
Comfort Inn Gaslamp / Convention Center,4.643356643356643
Comfort Inn Houston,2.75
Comfort Inn Hwy. 290/NW,4.4
Comfort Inn Lower East Side,4.554385964912281
Comfort Inn Manhattan,4.771251931993818
Comfort Inn Manhattan Bridge,4.006329113924051
Comfort Inn Memphis,3.28
Comfort Inn Near Hollywood Walk of Fame,4.323076923076923
Comfort Inn Near Old Town Pasadena - Eagle Rock,4.127450980392157
Comfort Inn Near SeaWorld,4.4
Comfort Inn Near Universal Studios Hollywood,3.7325581395348837
Comfort Inn Near Warner Center,3.5555555555555554
Comfort Inn New York City,4.5
Comfort Inn North,3.8596491228070176
Comfort Inn North Polaris,4.5636363636363635
Comfort Inn Phoenix,3.7017543859649122
Comfort Inn Phoenix West,3.6944444444444446
Comfort Inn South,3.409090909090909
Comfort Inn Times Square South,4.405204460966543
Comfort Inn Times Square West,4.8034934497816595
Comfort Inn West,4.0638297872340425
Comfort Inn and Suites near Universal Studios,3.4339622641509435
Comfort Inn by the Bay,4.127868852459017
Comfort Suites,4.813492063492063
Comfort Suites - Columbus / Clara St,3.75
Comfort Suites - Columbus / Keim Circle,4.461538461538462
Comfort Suites - Near the Galleria,3.730769230769231
Comfort Suites Airport,3.9444444444444446
Comfort Suites Airport North,4.133333333333334
Comfort Suites Alamo/Riverwalk,4.069182389937107
Comfort Suites Austin Airport,3.6333333333333333
Comfort Suites Baymeadows,4.131578947368421
Comfort Suites Bush Intercontinental Airport,4.21875
Comfort Suites Charlotte Northlake,4.476190476190476
Comfort Suites City Centre,4.296875
Comfort Suites Conference Center,
Comfort Suites Dallas,4.666666666666667
Comfort Suites Denver International Airport,3.8823529411764706
Comfort Suites Downtown South,3.56
Comfort Suites East Broad at 270,4.433962264150943
Comfort Suites Fort Worth,3.923076923076923
Comfort Suites Hobby Airport Houston,4.2727272727272725
Comfort Suites I-15 Miramar,3.96
Comfort Suites I-240 East-Airport,3.5833333333333335
Comfort Suites Indianapolis,4.645833333333333
Comfort Suites Indianapolis Airport,4.0625
Comfort Suites Jacksonville,4.1
Comfort Suites Jacksonville I-295,4.090909090909091
Comfort Suites Mission Valley,3.8017241379310347
Comfort Suites NW Lakeline,3.925925925925926
Comfort Suites Near Seaworld,4.409090909090909
Comfort Suites North,4.0
Comfort Suites North IH 35,4.348837209302325
Comfort Suites Park Central,3.259259259259259
Comfort Suites Phoenix / MetroCenter,4.304347826086956
Comfort Suites San Antonio NW Near Six Flags,4.516666666666667
Comfort Suites San Antonio at Rittiman,3.9705882352941178
Comfort Suites Stone Oak,4.395348837209302
Comfort Suites University Area,3.727272727272727
Comfort Suites West Energy Corridor,3.6666666666666665
Comfort Suites Westchase,4.214285714285714
Comfort Suites Willowbrook / Technology Corridor,3.6
Comfort Suites at Lake Worth,4.666666666666667
Commodore Hotel,2.5
Congress Plaza Hotel,4.370441458733206
Conrad Chicago,4.867115222876366
Conrad Indianapolis,4.8786764705882355
Conrad New York,4.273764258555133
Constitution Inn,3.7777777777777777
Continental Inn,3.6666666666666665
Continental Plaza Seattle,4.0
Conwell Inn,4.1558441558441555
Cooper Hotel & Conference Center,4.6923076923076925
Copley House,4.352941176470588
Copley Square Hotel,4.814606741573034
Coral Motel,4.111111111111111
Coral Sands Motel,4.046728971962617
Corktown Inn,2.6923076923076925
Cornell Hotel de France,4.719033232628399
Cosmopolitan Hotel - Tribeca,4.435424354243542
Country Garden Inn and Suites,4.0
Country Hearth Inn Charlotte,2.0833333333333335
Country Hearth Inn Indianapolis,3.75
Country Hearth Inn Jacksonville Airport,2.8333333333333335
Country Hearth Inn San Francisco,3.80327868852459
Country Inn & Suites By Carlson Austin-North,2.96
Country Inn & Suites By Carlson Indianapolis-South,4.090909090909091
"Country Inn & Suites By Carlson San Antonio Airport, TX",4.342105263157895
"Country Inn & Suites By Carlson, Charlotte - I-85 Airport",3.373134328358209
"Country Inn & Suites By Carlson, Denver International Airport",4.4963503649635035
"Country Inn & Suites By Carlson, Jacksonville",4.387755102040816
"Country Inn & Suites By Carlson, San Diego North",4.254901960784314
Country Inn & Suites Columbus - North,3.1219512195121952
Country Inn & Suites Columbus Airport,4.333333333333333
Country Inn & Suites Columbus Airport East,4.1
Country Inn & Suites Columbus-West,3.6153846153846154
Country Inn & Suites Deer Valley,4.15625
